cust_id,contact_type,duration,contact_num,p_days,p_outcome,y,date
76808,cellular,239,2,999,nonexistent,no,2008-08-10
59117,cellular,134,3,999,nonexistent,no,2008-08-07
77092,telephone,189,1,999,nonexistent,no,2008-05-19
91033,telephone,123,3,999,nonexistent,no,2008-06-30
1735,telephone,55,2,999,nonexistent,no,2008-05-16
91442,telephone,733,1,999,nonexistent,no,2008-07-25
57006,cellular,322,2,999,nonexistent,no,2009-04-22
70556,telephone,48,2,999,nonexistent,no,2008-06-03
21235,cellular,218,1,999,nonexistent,yes,2009-07-03
72487,telephone,67,1,999,nonexistent,no,2008-06-16
22056,cellular,123,1,999,nonexistent,no,2009-05-11
31300,telephone,269,2,999,nonexistent,no,2008-07-01
89901,cellular,528,1,999,nonexistent,yes,2008-08-20
86320,cellular,1094,3,999,nonexistent,no,2009-05-28
97384,telephone,1045,3,999,nonexistent,yes,2008-06-05
22682,cellular,61,2,999,failure,no,2009-05-17
49926,cellular,140,3,999,nonexistent,no,2010-08-25
82355,cellular,137,1,999,failure,no,2009-05-01
96807,cellular,156,2,999,nonexistent,no,2009-05-22
80394,cellular,69,11,999,nonexistent,no,2008-08-26
19876,cellular,85,1,999,nonexistent,no,2008-11-23
57878,cellular,638,2,999,nonexistent,yes,2009-05-08
75162,cellular,297,1,999,nonexistent,no,2009-04-12
23251,telephone,28,18,999,nonexistent,no,2008-05-24
70043,telephone,140,6,999,nonexistent,no,2008-06-16
33135,telephone,209,2,999,nonexistent,no,2008-07-26
78834,cellular,444,4,999,nonexistent,no,2008-07-05
3491,cellular,104,2,999,nonexistent,no,2008-08-08
671,telephone,268,3,999,nonexistent,no,2009-08-26
83385,cellular,1281,1,999,nonexistent,no,2009-05-17
95788,telephone,134,1,999,nonexistent,no,2008-05-14
5759,telephone,83,3,999,nonexistent,no,2008-05-26
35717,cellular,706,1,999,failure,no,2008-11-30
42330,cellular,617,2,999,nonexistent,yes,2009-06-21
42786,cellular,187,3,999,nonexistent,no,2008-07-27
55209,cellular,49,1,999,nonexistent,no,2008-11-30
82267,cellular,768,1,999,nonexistent,yes,2008-08-12
22234,cellular,114,1,999,nonexistent,no,2008-08-21
63440,cellular,212,1,999,nonexistent,no,2009-05-10
39495,cellular,50,1,999,failure,no,2009-05-12
82948,cellular,709,2,999,nonexistent,yes,2008-07-03
23401,telephone,207,3,999,nonexistent,no,2008-11-21
20575,cellular,195,1,999,nonexistent,no,2008-07-11
19585,cellular,94,7,999,nonexistent,no,2009-05-29
48545,cellular,133,6,999,nonexistent,no,2008-08-23
96671,cellular,9,31,999,nonexistent,no,2008-07-05
46409,telephone,154,1,999,nonexistent,no,2008-07-07
59589,cellular,1288,3,999,nonexistent,yes,2009-04-10
24380,cellular,364,1,999,nonexistent,no,2008-11-02
80587,telephone,94,7,999,nonexistent,no,2009-04-13
92524,cellular,18,8,999,nonexistent,no,2008-07-04
74969,cellular,157,5,999,nonexistent,no,2008-11-23
94239,telephone,107,4,999,nonexistent,no,2008-06-12
89994,telephone,353,2,999,nonexistent,yes,2009-07-20
80100,cellular,376,2,999,nonexistent,no,2008-08-28
9744,cellular,213,3,999,nonexistent,no,2009-04-19
97449,telephone,1106,3,999,nonexistent,no,2008-05-08
45901,cellular,74,2,999,nonexistent,no,2008-08-20
5883,cellular,442,1,999,nonexistent,no,2008-07-08
3549,cellular,110,1,999,failure,no,2010-09-08
64955,cellular,461,2,999,nonexistent,no,2008-07-19
43503,telephone,23,4,999,nonexistent,no,2008-05-07
83173,cellular,127,5,999,nonexistent,no,2008-08-18
98004,telephone,254,1,999,nonexistent,no,2008-05-20
42148,cellular,37,2,999,nonexistent,no,2008-08-06
38124,cellular,667,1,999,nonexistent,yes,2009-05-16
24895,cellular,265,1,999,nonexistent,no,2008-11-06
91178,cellular,716,3,999,nonexistent,yes,2008-07-19
94448,telephone,34,2,999,nonexistent,no,2008-05-28
6627,telephone,535,2,999,nonexistent,no,2008-06-25
38275,telephone,512,1,999,nonexistent,yes,2008-06-14
52363,cellular,94,1,999,nonexistent,no,2008-11-21
21862,cellular,121,2,999,nonexistent,no,2008-08-28
63426,telephone,1307,1,999,nonexistent,no,2008-05-15
11775,cellular,80,4,999,nonexistent,yes,2009-03-24
15410,cellular,204,2,999,failure,no,2009-08-20
8875,cellular,124,1,999,nonexistent,no,2008-11-20
853,cellular,240,5,999,nonexistent,no,2008-07-28
5311,cellular,334,5,999,nonexistent,no,2008-07-19
84525,telephone,428,2,999,nonexistent,no,2008-07-17
65837,cellular,276,3,999,nonexistent,no,2008-07-25
79377,cellular,102,1,999,nonexistent,no,2008-07-17
31175,telephone,246,2,999,nonexistent,no,2009-05-13
56832,cellular,327,1,999,nonexistent,no,2008-07-03
56846,cellular,54,2,999,nonexistent,no,2008-11-12
96575,cellular,58,1,999,nonexistent,no,2008-11-17
31867,telephone,25,2,999,nonexistent,no,2008-06-08
45166,cellular,176,1,3,success,no,2009-06-08
39944,cellular,386,1,999,nonexistent,no,2009-04-20
48990,telephone,68,2,999,nonexistent,no,2008-06-22
8103,cellular,57,2,999,nonexistent,no,2008-08-19
72012,cellular,86,1,999,nonexistent,no,2008-07-19
32772,cellular,73,3,999,failure,no,2009-08-05
21037,telephone,61,1,999,nonexistent,no,2008-06-21
4921,telephone,101,23,999,nonexistent,no,2008-05-20
80775,telephone,274,8,999,nonexistent,no,2008-05-30
1156,cellular,90,2,999,nonexistent,no,2008-08-10
27669,cellular,282,1,999,nonexistent,no,2008-07-24
14666,cellular,22,3,999,nonexistent,no,2009-05-27
85663,telephone,124,1,999,nonexistent,no,2008-06-19
27177,telephone,442,8,999,nonexistent,yes,2008-06-14
40081,cellular,87,1,999,nonexistent,no,2008-07-09
70536,cellular,163,2,999,nonexistent,no,2008-07-11
4891,telephone,332,2,999,nonexistent,no,2008-05-09
1813,telephone,187,2,999,nonexistent,no,2008-06-25
41991,telephone,193,6,999,nonexistent,no,2008-05-12
58624,cellular,199,1,999,nonexistent,no,2009-10-07
79678,telephone,346,5,999,nonexistent,no,2009-05-24
49384,telephone,19,9,999,nonexistent,no,2008-05-07
22721,telephone,117,4,999,nonexistent,no,2008-06-27
59760,telephone,52,2,999,nonexistent,no,2008-05-18
48271,telephone,55,2,999,nonexistent,no,2008-06-03
83746,cellular,829,1,999,nonexistent,no,2009-04-28
26472,cellular,11,7,999,nonexistent,no,2008-11-28
27021,cellular,397,1,999,nonexistent,no,2008-07-06
82121,telephone,182,1,999,nonexistent,no,2008-05-23
68679,cellular,795,6,999,failure,no,2009-05-07
36309,telephone,257,2,999,nonexistent,no,2008-05-12
93276,telephone,21,2,999,nonexistent,no,2009-05-09
8564,cellular,360,3,999,nonexistent,no,2008-07-24
92502,cellular,231,3,999,nonexistent,no,2008-08-13
83373,cellular,202,3,999,failure,no,2009-05-06
21634,telephone,267,1,999,nonexistent,no,2008-05-10
95072,telephone,289,1,999,nonexistent,no,2008-05-28
56497,telephone,43,1,999,failure,no,2009-05-02
52327,cellular,49,1,999,failure,no,2009-05-20
50569,cellular,60,8,999,nonexistent,no,2008-07-23
54259,cellular,91,1,999,nonexistent,no,2009-05-30
36272,cellular,178,2,999,nonexistent,no,2009-04-26
76876,cellular,30,4,999,nonexistent,no,2008-08-03
33420,telephone,53,1,999,nonexistent,no,2008-11-04
75876,telephone,287,1,999,nonexistent,no,2008-05-26
91889,cellular,158,1,999,nonexistent,no,2009-05-22
37995,telephone,107,1,2,success,no,2009-04-18
72332,cellular,130,1,999,nonexistent,no,2009-10-14
18826,cellular,372,1,999,nonexistent,no,2008-08-15
29254,cellular,69,4,999,nonexistent,no,2008-07-25
41733,cellular,134,3,999,nonexistent,no,2008-08-11
67658,cellular,196,1,999,nonexistent,no,2008-11-10
55191,telephone,47,1,999,nonexistent,no,2009-05-22
29885,cellular,148,2,999,nonexistent,no,2008-07-14
30910,telephone,230,4,999,failure,no,2009-05-12
83341,cellular,9,17,999,nonexistent,no,2008-07-06
31419,cellular,597,1,999,nonexistent,yes,2009-05-11
10211,cellular,203,1,3,success,yes,2010-08-22
21259,cellular,62,3,999,nonexistent,no,2008-07-08
27173,telephone,113,3,999,nonexistent,no,2008-06-28
26688,telephone,164,1,999,nonexistent,no,2008-06-18
1596,telephone,153,1,999,nonexistent,no,2008-05-22
91465,telephone,524,2,999,nonexistent,no,2008-05-17
79749,telephone,187,1,999,nonexistent,no,2008-05-16
50953,cellular,306,1,6,success,yes,2010-05-14
34826,cellular,97,2,999,nonexistent,no,2008-07-26
93146,telephone,483,3,999,nonexistent,yes,2008-05-24
26586,cellular,78,1,999,nonexistent,no,2008-08-15
39067,telephone,112,1,999,nonexistent,no,2008-06-09
70474,cellular,386,3,6,success,yes,2010-09-16
56863,cellular,86,3,999,nonexistent,no,2009-05-12
44684,cellular,44,2,999,nonexistent,no,2009-05-22
36766,telephone,290,4,999,nonexistent,no,2008-05-02
2166,cellular,111,4,999,nonexistent,no,2008-07-12
33796,telephone,111,4,999,nonexistent,no,2008-05-22
50463,cellular,137,1,999,failure,no,2009-04-26
6549,cellular,176,1,999,failure,no,2010-08-19
9322,telephone,248,3,999,nonexistent,no,2008-05-30
15756,telephone,34,1,999,nonexistent,no,2008-05-20
78167,cellular,136,3,3,success,no,2009-06-13
53261,cellular,387,10,999,nonexistent,no,2009-05-28
92494,telephone,919,1,999,nonexistent,no,2008-06-12
29990,cellular,131,2,999,nonexistent,no,2008-08-18
88027,cellular,66,2,999,nonexistent,no,2008-08-03
35733,cellular,1721,4,999,nonexistent,yes,2008-07-26
35467,cellular,305,1,999,nonexistent,no,2009-05-09
92548,cellular,310,2,999,nonexistent,no,2009-05-16
40375,telephone,604,1,999,nonexistent,no,2008-05-25
79854,telephone,210,1,999,nonexistent,no,2008-05-07
15499,cellular,189,1,999,nonexistent,no,2008-08-14
28702,cellular,788,2,999,nonexistent,no,2009-05-03
43084,cellular,75,1,999,nonexistent,no,2008-07-10
22217,cellular,264,1,999,nonexistent,no,2009-06-21
24324,cellular,57,1,999,nonexistent,no,2009-05-29
64812,telephone,270,1,999,nonexistent,no,2008-11-21
56024,cellular,419,3,999,nonexistent,no,2008-08-01
42488,cellular,107,10,999,nonexistent,no,2008-07-13
62181,cellular,1226,2,999,nonexistent,no,2008-07-02
21114,cellular,212,3,999,nonexistent,no,2008-07-24
10057,telephone,141,2,999,nonexistent,no,2008-05-09
46041,cellular,95,1,999,nonexistent,no,2008-07-03
30612,cellular,111,8,999,nonexistent,no,2008-07-22
16036,cellular,237,1,999,failure,no,2009-11-25
37890,cellular,781,1,999,nonexistent,no,2008-08-04
30379,cellular,120,1,999,nonexistent,no,2008-11-09
26623,telephone,248,1,999,nonexistent,no,2008-06-08
61122,cellular,70,1,999,nonexistent,no,2008-08-07
23199,telephone,471,3,999,nonexistent,no,2008-07-19
93829,cellular,139,2,999,nonexistent,no,2008-08-27
28795,cellular,60,24,999,nonexistent,no,2008-07-04
41173,cellular,124,1,999,nonexistent,no,2010-06-17
68057,telephone,500,3,999,nonexistent,no,2008-05-18
20126,telephone,11,6,999,nonexistent,no,2009-05-27
69509,cellular,136,1,999,nonexistent,no,2009-06-23
92204,cellular,114,2,999,nonexistent,no,2008-07-15
73435,cellular,73,2,999,nonexistent,no,2009-04-17
3031,telephone,169,1,999,nonexistent,no,2008-06-08
24801,cellular,165,4,999,failure,no,2009-05-29
73583,telephone,200,1,999,nonexistent,no,2008-05-06
37216,telephone,83,11,999,nonexistent,no,2008-06-05
80094,telephone,802,3,999,nonexistent,no,2008-06-26
28289,cellular,20,27,999,nonexistent,no,2008-07-05
92351,cellular,72,4,999,nonexistent,no,2009-04-06
19783,telephone,125,3,999,nonexistent,no,2008-11-10
71646,cellular,234,2,999,nonexistent,no,2008-08-09
3886,cellular,540,3,9,success,no,2009-04-01
11868,cellular,88,3,999,nonexistent,no,2008-08-11
46014,telephone,119,5,999,nonexistent,no,2008-05-02
38651,telephone,746,1,999,nonexistent,yes,2008-05-24
73171,telephone,87,1,999,nonexistent,no,2008-05-05
33871,cellular,93,2,999,nonexistent,no,2008-11-30
78689,cellular,256,2,7,failure,yes,2009-11-14
34874,telephone,208,2,999,nonexistent,no,2008-05-29
25196,cellular,329,1,999,nonexistent,no,2008-07-25
88184,cellular,91,1,999,failure,no,2009-05-15
38558,cellular,1975,5,999,nonexistent,yes,2009-05-11
47619,cellular,107,2,999,nonexistent,no,2008-08-20
84006,telephone,446,8,999,nonexistent,no,2009-11-28
9078,cellular,905,3,999,nonexistent,no,2008-07-02
80943,cellular,215,3,999,nonexistent,no,2008-07-21
30589,telephone,427,1,999,nonexistent,no,2008-05-21
62025,cellular,116,6,999,nonexistent,no,2008-11-05
35471,cellular,254,1,999,failure,no,2009-05-05
91257,cellular,65,1,999,nonexistent,no,2009-05-09
93487,cellular,86,2,999,nonexistent,no,2008-08-14
70592,telephone,94,4,999,nonexistent,no,2008-06-02
84800,cellular,43,2,999,nonexistent,no,2008-07-29
523,telephone,211,1,999,nonexistent,no,2008-07-26
1455,cellular,85,1,999,nonexistent,no,2009-04-24
36651,telephone,338,2,999,nonexistent,no,2008-05-16
73104,cellular,102,2,999,nonexistent,no,2009-12-29
47640,telephone,60,6,999,nonexistent,no,2008-05-30
90338,telephone,426,1,6,success,yes,2010-07-02
66420,telephone,101,2,999,nonexistent,no,2008-05-23
43923,cellular,508,1,999,nonexistent,no,2009-04-09
23228,cellular,102,4,999,nonexistent,no,2008-11-16
15182,cellular,429,2,999,nonexistent,no,2009-05-02
88205,cellular,250,1,999,nonexistent,no,2009-05-22
20334,cellular,79,1,999,failure,no,2009-04-02
16330,cellular,73,9,999,nonexistent,no,2008-08-03
10121,telephone,578,2,999,nonexistent,no,2009-08-16
37590,telephone,148,1,999,nonexistent,no,2008-06-29
22716,cellular,257,1,999,nonexistent,no,2009-05-11
45820,cellular,88,1,999,nonexistent,no,2008-11-04
31599,cellular,708,2,6,success,yes,2010-09-12
81332,telephone,52,4,999,nonexistent,no,2008-06-12
68744,telephone,68,1,999,nonexistent,no,2008-05-05
55039,cellular,278,8,999,nonexistent,yes,2009-03-03
47842,telephone,378,2,999,nonexistent,no,2008-06-14
62212,cellular,16,10,999,nonexistent,no,2008-08-08
59890,telephone,60,1,999,nonexistent,no,2008-07-06
23760,cellular,608,1,999,failure,yes,2009-05-25
50219,cellular,354,2,999,failure,no,2008-11-27
19743,telephone,196,2,999,nonexistent,no,2008-06-15
63949,cellular,46,4,999,nonexistent,no,2009-04-16
65717,cellular,81,1,999,nonexistent,no,2008-11-18
13955,telephone,197,2,999,nonexistent,no,2008-05-28
32274,cellular,908,1,6,success,yes,2010-09-04
2562,telephone,277,1,999,nonexistent,no,2008-05-09
32142,cellular,238,2,999,failure,no,2009-08-23
26834,telephone,399,1,999,nonexistent,yes,2008-11-03
32161,cellular,249,3,999,nonexistent,no,2008-07-20
96835,telephone,27,1,999,nonexistent,no,2008-06-24
60101,cellular,835,7,999,nonexistent,no,2010-04-29
77656,cellular,135,1,999,failure,no,2010-06-26
90490,cellular,156,1,999,nonexistent,no,2008-07-03
44633,cellular,201,1,999,nonexistent,no,2009-05-24
13249,cellular,354,1,999,nonexistent,no,2008-07-25
37874,cellular,396,3,999,nonexistent,yes,2009-05-30
73108,cellular,487,2,999,nonexistent,no,2009-05-02
18139,telephone,9,28,999,nonexistent,no,2008-06-01
53623,cellular,164,1,999,failure,no,2009-10-24
42951,cellular,204,3,999,nonexistent,no,2008-07-21
11014,cellular,210,2,999,nonexistent,no,2008-08-19
6870,telephone,143,3,999,nonexistent,no,2008-05-12
32649,telephone,461,3,999,nonexistent,no,2008-05-18
42177,cellular,352,1,999,nonexistent,no,2009-05-22
5090,telephone,161,1,999,nonexistent,no,2008-05-25
94413,telephone,199,1,999,nonexistent,no,2008-05-06
86541,telephone,402,3,999,nonexistent,no,2008-05-26
6971,cellular,82,3,999,nonexistent,no,2009-05-16
34424,telephone,368,5,999,nonexistent,no,2008-05-26
83032,cellular,81,4,999,nonexistent,no,2008-07-22
10345,telephone,312,1,999,nonexistent,yes,2008-10-16
70118,telephone,285,2,999,nonexistent,no,2008-06-27
1887,telephone,315,1,999,nonexistent,no,2008-05-09
97294,cellular,92,30,999,nonexistent,no,2008-07-29
54638,telephone,199,6,999,nonexistent,no,2008-06-05
8613,cellular,318,1,999,nonexistent,no,2008-07-03
20594,telephone,183,5,999,nonexistent,no,2008-06-24
73671,cellular,98,1,999,nonexistent,no,2008-07-30
43518,telephone,157,9,999,nonexistent,no,2008-06-05
90318,cellular,150,4,999,nonexistent,no,2008-07-19
5720,telephone,350,3,999,nonexistent,no,2008-06-02
51707,cellular,448,3,999,nonexistent,no,2008-08-23
93852,telephone,446,1,999,nonexistent,no,2008-06-15
53601,cellular,940,10,999,nonexistent,yes,2008-08-05
71868,cellular,519,1,999,nonexistent,no,2008-11-09
38014,telephone,103,2,999,nonexistent,no,2008-05-12
23839,telephone,193,7,999,nonexistent,no,2008-07-18
2368,cellular,135,2,999,nonexistent,no,2008-07-17
59848,cellular,964,1,999,nonexistent,no,2008-07-26
11033,cellular,373,1,999,nonexistent,no,2008-08-01
7938,telephone,260,1,999,nonexistent,no,2008-05-19
69109,cellular,609,6,999,nonexistent,no,2008-07-26
7743,telephone,164,1,999,nonexistent,no,2008-05-25
81299,cellular,475,2,999,nonexistent,yes,2009-04-08
74587,cellular,59,1,999,nonexistent,no,2008-07-20
24070,cellular,54,1,999,failure,no,2009-04-10
58643,telephone,117,1,999,nonexistent,no,2008-07-21
